State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Chikoos(Sapota),Sapota,Local,15/03/2026,3300,3500,3400
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Papaya,Papaya,Local,15/03/2026,3300,3500,3400
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Cluster beans","Cluster Beans",Local,15/03/2026,3800,4000,3900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Bottle gourd","Bottle Gourd",Local,15/03/2026,1200,1400,1300
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Tapioca,Tapioca,Local,15/03/2026,2300,2500,2400
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Coconut,Coconut,Local,15/03/2026,6000,6500,6250
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Carrot,Pusakesar,Local,15/03/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Cucumbar(Kheera),Cucumbar,Local,15/03/2026,3800,4000,3900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Raddish,Raddish,Local,15/03/2026,1000,1200,1100
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Onion,Bellary,Local,15/03/2026,2500,3000,2750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Potato,"Red Nanital",Local,15/03/2026,2800,3000,2900
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Brinjal,Round,Local,15/03/2026,2000,2500,2250
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Green Peas","Green Peas",Local,15/03/2026,7500,8000,7750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Papaya,Papaya,Local,15/03/2026,2500,3000,2750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,15/03/2026,2000,2500,2250
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Banana - Green","Banana - Green",Local,15/03/2026,2000,2400,2200
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Carrot,Pusakesar,Local,15/03/2026,5500,6000,5750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Raddish,Raddish,Local,15/03/2026,1600,2000,1800
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Green Avare(W)","Green Avare (W)",Local,15/03/2026,4500,5000,4750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,15/03/2026,2500,3000,2750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Potato,"Red Nanital",Local,15/03/2026,1800,2000,1900
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Chikoos(Sapota),Sapota,Local,15/03/2026,3000,3500,3250
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Bitter gourd","Bitter Gourd",Local,15/03/2026,2500,3000,2750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Green Chilli","Green Chilly",Local,15/03/2026,3000,4000,3500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Cucumbar(Kheera),Cucumbar,Local,15/03/2026,2000,2000,2000
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Raddish,Raddish,Local,15/03/2026,2000,2000,2000
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Green Avare(W)","Green Avare (W)",Local,15/03/2026,3500,4000,3750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Tender Coconut","Tender Coconut",Local,15/03/2026,2000,3000,2500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Lemon,Lemon,Local,15/03/2026,7000,7000,7000
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Colacasia,Colacasia,Local,15/03/2026,3000,3500,3250
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Banana,Karpura,Local,15/03/2026,5000,5000,5000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Papaya,Papaya,Local,15/03/2026,3500,3500,3500
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Beans,"Beans (Whole)",Local,15/03/2026,4500,4500,4500
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Ridgeguard(Tori),Ridgeguard(Tori),Local,15/03/2026,3500,3500,3500
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Raddish,Raddish,Local,15/03/2026,1600,1600,1600
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,15/03/2026,3500,3500,3500
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Tomato,Deshi,Local,15/03/2026,1000,1400,1200
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)","Bottle gourd","Bottle Gourd",Local,15/03/2026,1000,1200,1100
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,15/03/2026,4000,4000,4000
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,15/03/2026,2000,2400,2200
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Ginger(Green),"Green Ginger",Local,15/03/2026,8000,8000,8000
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Carrot,Pusakesar,Local,15/03/2026,5000,5400,5200
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Snakeguard,Snakeguard,Local,15/03/2026,1800,2000,1900
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Ridgeguard(Tori),Ridgeguard(Tori),Local,15/03/2026,3500,4000,3750
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)","Elephant Yam(Suran)/Amorphophallus","Elephant Yam (Suran)",Local,15/03/2026,4000,4000,4000
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Lemon,Lemon,Local,15/03/2026,6000,6000,6000
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)","Bitter gourd",Other,Local,15/03/2026,3000,3500,3250
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Pumpkin,Pumpkin,Local,15/03/2026,1700,2000,1850
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)","Green Chilli","Green Chilly",Local,15/03/2026,4500,5000,4750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Carrot,Pusakesar,Local,15/03/2026,5500,6000,5750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Beetroot,Beetroot,Local,15/03/2026,4500,5000,4750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)","Green Avare(W)",Other,Local,15/03/2026,6000,8000,7000
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)","Chow Chow","Chow Chow",Local,15/03/2026,2000,2500,2250
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,15/03/2026,3500,4000,3750
"Uttar Pradesh",Lakhimpur,"Paliakala APMC",Paddy(Common),Common,FAQ,15/03/2026,1750,1800,1775
"Uttar Pradesh",Hathras,"Shadabad APMC",Tomato,Tomato,Small,15/03/2026,900,1000,950
"Uttar Pradesh",Sambhal,"Sambhal APMC",Apple,Apple,"Grade A",15/03/2026,4000,8500,8000
"Uttar Pradesh",Sambhal,"Sambhal APMC",Cauliflower,Cauliflower,FAQ,15/03/2026,800,1000,850
"Uttar Pradesh",Sambhal,"Sambhal APMC",Tomato,Deshi,FAQ,15/03/2026,2000,2600,2250
"West Bengal","Paschim Bardhaman","Durgapur APMC",Potato,Jyoti,FAQ,15/03/2026,760,820,780
"West Bengal","Paschim Bardhaman","Durgapur APMC",Mustard,Other,FAQ,15/03/2026,6200,6450,6350
"West Bengal",Alipurduar,"Falakata APMC",Onion,Other,FAQ,15/03/2026,1500,1700,1600
"West Bengal",Darjeeling,"Karsiyang(Matigara) APMC",Onion,Nasik,FAQ,15/03/2026,2800,3000,2900
"West Bengal",Darjeeling,"Darjeeling APMC",Ginger(Green),Other,FAQ,15/03/2026,7600,7800,7700
"West Bengal",Darjeeling,"Darjeeling APMC",Tomato,Other,FAQ,15/03/2026,2500,2700,2600
"West Bengal","Uttar Dinajpur","Raiganj APMC",Carrot,Carrot,FAQ,15/03/2026,1100,1300,1200
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Banana,Besrai,Local,15/03/2026,5000,7000,6000
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Garlic,Garlic,Local,15/03/2026,14000,16000,15000
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC","Green Peas","Green Peas",Local,15/03/2026,6400,7000,6700
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Tomato,Deshi,Local,15/03/2026,1500,1800,1650
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC","Cluster beans","Cluster Beans",Local,15/03/2026,3400,3800,3600
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC","Bottle gourd","Bottle Gourd",Local,15/03/2026,2000,2500,2250
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Cowpea(Veg),"Cowpea (Veg)",Local,15/03/2026,2600,3000,2800
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Ginger(Green),"Green Ginger",Local,15/03/2026,6600,7200,6900
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Carrot,Pusakesar,Local,15/03/2026,4400,5000,4700
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Cabbage,Cabbage,Local,15/03/2026,1800,2200,2000
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Snakeguard,Snakeguard,Local,15/03/2026,2400,3000,2700
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Cucumbar(Kheera),Cucumbar,Local,15/03/2026,3000,3500,3250
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,15/03/2026,5000,6000,5500
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC","Onion Green","Onion Green",Local,15/03/2026,3000,3500,3250
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC",Coriander(Leaves),"I Sort",Local,15/03/2026,4000,5000,4500
